id;created_by;created_date;last_modified_by;last_modified_date;source_id;ref_id;item_count;validation_error
1;Granite Delaware Metal;2021-01-17T10:57:52;quantify Fantastic;2021-01-16T21:06:06;Slovenia Maryland Lead;Berkshire Car;25798;Personal Loan Account Steel port
2;user-facing bandwidth;2021-01-17T10:22:08;quantify wireless;2021-01-17T09:33:44;static Kansas orange;productize Mandatory;57431;initiatives PNG hybrid
3;protocol Money Market Account;2021-01-17T12:11:18;Leone system Tunisia;2021-01-17T08:31:57;Multi-channelled Rustic;copy Buckinghamshire;11718;embrace Central
4;Synchronised Integration;2021-01-17T00:25:56;firewall;2021-01-17T14:06:56;uniform;European Unit of Account 9(E.U.A.-9);47764;navigate
5;project Developer;2021-01-16T18:14:40;deposit overriding;2021-01-16T17:54:04;turquoise harness;Home Loan Account Director;50989;open system bypass
6;protocol Angola Frozen;2021-01-17T03:05:01;envisioneer Practical;2021-01-16T19:23:04;navigating Directives HTTP;Malagasy Ariary invoice;16993;installation
7;Nebraska;2021-01-17T10:54:20;Belarus;2021-01-17T07:48:26;Barbados Dollar;Northern Mariana Islands override;96993;scalable withdrawal
8;SMS Borders;2021-01-16T20:09:31;bus Open-source Intelligent;2021-01-17T14:25:28;Research invoice parsing;Kids demand-driven multi-byte;21219;Sausages flexibility
9;Avon invoice bluetooth;2021-01-17T06:46:07;leverage Games;2021-01-16T15:59:04;interactive withdrawal AI;American Samoa infomediaries Home Loan Account;5546;Legacy orange Generic
10;Producer Associate;2021-01-17T01:59:00;granular;2021-01-16T16:39:43;generate;context-sensitive Coordinator feed;62635;Profound Concrete
